carretera_codigo,tramo_nombre,estacion_id,estacion_nombre,velocidad_media,imd_ascendentes,imd_descendentes,imd_total,imd_pesados,año
TF-47,Alcalá,295,PLAYA SAN JUAN-ALCALA,0.0,5907.0,5747.0,11654,443,2021
TF-47,Acceso a Playa de la Arena,297,PASADO ALCALA-JAQUITA,0.0,,,10919,415,2021
TF-47,Acceso a Los Gigantes,299,ANTES CRUCE L. GIGANTES,48.32,1422.0,1889.0,3311,88,2021
TF-481,San Eugenio,684,BCO TROYA-LAS AMERICAS,54.9,14036.0,9503.0,23539,738,2021
TF-5,Piscina Municipal,82,TÚNEL 3 DE MAYO,45.99,23827.0,1166.0,24993,628,2021
TF-5,Autopista del Sur,83,SOMOSIERRA,92.86,42763.0,50780.0,93543,1040,2021
TF-5,Al Campo,85,HOSPITAL RESIDENCIA,112.29,49019.0,53967.0,102986,2449,2021
TF-5,Padre Anchieta,93,CAMPUS GUAJARA,91.65,59591.0,37059.0,96650,1743,2021
TF-5,Bomberos,97,PADRE ANCHIETA,82.36,53875.0,51251.0,105126,3883,2021
TF-5,Aeropuerto de Los Rodeos,99,BOMBEROS LA LAGUNA,86.7,47354.0,50581.0,97935,2517,2021
TF-5,El Sauzal,103,ERMITA CRUZ CHICA,98.77,38918.0,38979.0,77897,1712,2021
TF-5,Puerto de La Cruz,111,LA MATANZA,74.81,35516.0,35140.0,70656,2842,2021
TF-5,Los Realejos,123,LA OROTAVA,93.78,31472.0,32322.0,63794,1762,2021
TF-5,Final Tramo Desdoblado,131,BCO EL PATRONATO,69.81,11703.0,15182.0,26885,726,2021
TF-5,San Juan de La Rambla,133,LOS REALEJOS-SOCORRO,0.0,,,27699,748,2021
TF-5,Santo Domingo,134,SANTA CATALINA,0.0,,,26301,710,2021
TF-5,Las Lajas,136,EL PEDREGAL,72.74,4605.0,4294.0,8899,195,2021
TF-5,el Tanque,138,EL AMPARO,108.34,3785.0,3629.0,7414,697,2021
TF-51,Arona,301,LA CAMELLA-ARONA,0.0,2131.0,2252.0,4383,121,2021
TF-51,Acceso a Ifonche,303,ARONA - LAS CASAS,0.0,928.0,926.0,1854,25,2021
TF-51,La Escalona,305,LA ESCALONA,0.0,,,1801,50,2021
TF-51,Camino Real (a La Escalona),307,PASADO LA ESCALONA,0.0,,,1193,32,2021
TF-51,Vilaflor,309,COOPERATIVA VILAFLOR,0.0,,,1590,48,2021
